razao_social#cnae_fiscal
BIG FOOD'S IND. DE PRODUTOS ALIMENTICIOS LTDA#1091101
ADECOAGRO COMERCIO, EXPORTACAO E IMPORTACAO LTDA#4621400
TECNIMONT DO BRASIL CONSTRUCAO E ADMINISTRACAO DE PROJETOS LTDA#7112000
LUIZ MINOZZO & CIA LTDA#0163600
NOTION INFORMATICA LTDA#6209100
CONSTRUCTIVA ENGENHARIA LTDA#7490103
RECREIO B. H. VEICULOS S.A.#4511101
SAO PAULO FUTEBOL CLUBE#9200301
ADMINISTRADORA CARIOCA DE SHOPPING CENTERS S/C LTDA#6822600
ORBIS TRUST SECURITIZADORA DE CREDITOS S.A.#6492100
SAO PAULO FUTEBOL CLUBE#9312300
CARVALHO & CASTRO LTDA#4744001
SAO PAULO FUTEBOL CLUBE#9312300
UNITA VEICULOS LTDA#4511101
I L FERREIRA & CIA LTDA#4221902
CARGILL ALIMENTOS LTDA#1066000
DATSAN AUDIO VIDEO INFORMATICA LTDA#4651601
NOLEM COMERCIAL IMPORTADORA E EXPORTADORA S.A#0119907
RIO NEGRO TRANSPORTES LTDA#4930204
CRYSTALSEV COMERCIO E REPRESENTACAO LTDA#4689399
SAO PAULO FUTEBOL CLUBE#9312300
ENEL CIEN S.A#3512300
FRIGORIFICO SAO GREGORIO LTDA#1011201
INNOVA S/A#2031200
GELNEX INDUSTRIA E COMERCIO LTDA#1099602
ADM DO BRASIL LTDA#4623199
COIM BRASIL LTDA#6462000
CIPATEX DO NORDESTE S/A#2221800
GAMA SAUDE LTDA#6550200
TAM LINHAS AEREAS S/A.#5111100
TARGET TRADING S.A.#4693100
RIO GRANDE ENERGIA SA#3514000
